row,v_j,v_k,nu1,nu2,nu3,nu4,nu5,nu6,real_num,real_den,imag_num,imag_den
4,2,1,0,1,1,1,-2,0,0,1,147,12800000
4,2,1,0,1,1,1,-1,0,0,1,399,3200000
4,2,1,0,1,1,1,1,0,0,1,-399,3200000
4,2,1,0,1,1,1,2,0,0,1,-147,12800000
4,2,1,0,1,1,2,-2,0,0,1,-147,25600000
4,2,1,0,1,1,2,0,0,0,1,147,12800000
4,2,1,0,1,1,2,2,0,0,1,-147,25600000
4,2,2,0,0,-1,-1,-1,0,0,1,441,3200000
4,2,2,0,0,-1,-1,1,0,0,1,-441,3200000
4,2,2,0,0,-1,1,-1,0,0,1,-441,3200000
4,2,2,0,0,-1,1,1,0,0,1,441,3200000
4,2,2,0,0,0,-2,-2,0,0,1,-147,12800000
4,2,2,0,0,0,-2,0,0,0,1,147,6400000
4,2,2,0,0,0,-2,2,0,0,1,-147,12800000
4,2,2,0,0,0,2,-2,0,0,1,147,12800000
4,2,2,0,0,0,2,0,0,0,1,-147,6400000
4,2,2,0,0,0,2,2,0,0,1,147,12800000
4,2,2,0,0,1,-1,-1,0,0,1,-441,3200000
4,2,2,0,0,1,-1,1,0,0,1,441,3200000
4,2,2,0,0,1,1,-1,0,0,1,441,3200000
4,2,2,0,0,1,1,1,0,0,1,-441,3200000
4,2,3,0,0,0,-2,-2,0,0,1,-147,12800000
4,2,3,0,0,0,-2,0,0,0,1,147,6400000
4,2,3,0,0,0,-2,2,0,0,1,-147,12800000
4,2,3,0,0,0,2,-2,0,0,1,147,12800000
4,2,3,0,0,0,2,0,0,0,1,-147,6400000
4,2,3,0,0,0,2,2,0,0,1,147,12800000
4,2,5,0,0,0,-1,-2,0,0,1,-147,6400000
4,2,5,0,0,0,-1,0,0,0,1,40147,3200000
4,2,5,0,0,0,-1,2,0,0,1,-147,6400000
4,2,5,0,0,0,1,-2,0,0,1,147,6400000
4,2,5,0,0,0,1,0,0,0,1,-40147,3200000
4,2,5,0,0,0,1,2,0,0,1,147,6400000
4,2,6,0,0,0,-1,-1,0,0,1,-1,480
4,2,6,0,0,0,-1,1,0,0,1,1,480
4,2,6,0,0,0,1,-1,0,0,1,-1,480
4,2,6,0,0,0,1,1,0,0,1,1,480
4,3,1,0,-1,-1,-2,-2,0,0,1,147,25600000
4,3,1,0,-1,-1,-2,0,0,0,1,-147,12800000
4,3,1,0,-1,-1,-2,2,0,0,1,147,25600000
4,3,1,0,-1,-1,-1,-2,0,0,1,147,12800000
4,3,1,0,-1,-1,-1,-1,0,0,1,399,3200000
4,3,1,0,-1,-1,-1,1,0,0,1,-399,3200000
4,3,1,0,-1,-1,-1,2,0,0,1,-147,12800000
4,3,1,0,-1,-1,0,-2,0,0,1,147,12800000
4,3,1,0,-1,-1,0,0,0,0,1,-560441,19200000
4,3,1,0,-1,-1,0,2,0,0,1,147,12800000
4,3,1,0,-1,-1,1,-2,0,0,1,147,12800000
4,3,1,0,-1,-1,1,-1,0,0,1,399,3200000
4,3,1,0,-1,-1,1,1,0,0,1,-399,3200000
4,3,1,0,-1,-1,1,2,0,0,1,-147,12800000
4,3,1,0,-1,-1,2,-2,0,0,1,147,25600000
4,3,1,0,-1,-1,2,0,0,0,1,-147,12800000
4,3,1,0,-1,-1,2,2,0,0,1,147,25600000
4,3,1,0,1,1,-2,-2,0,0,1,-147,25600000
4,3,1,0,1,1,-2,0,0,0,1,147,12800000
4,3,1,0,1,1,-2,2,0,0,1,-147,25600000
4,3,1,0,1,1,-1,-2,0,0,1,147,12800000
4,3,1,0,1,1,-1,-1,0,0,1,399,3200000
4,3,1,0,1,1,-1,1,0,0,1,-399,3200000
4,3,1,0,1,1,-1,2,0,0,1,-147,12800000
4,3,1,0,1,1,0,-2,0,0,1,-147,12800000
4,3,1,0,1,1,0,0,0,0,1,560441,19200000
4,3,1,0,1,1,0,2,0,0,1,-147,12800000
4,3,1,0,1,1,1,-2,0,0,1,147,12800000
4,3,1,0,1,1,1,-1,0,0,1,399,3200000
4,3,1,0,1,1,1,1,0,0,1,-399,3200000
4,3,1,0,1,1,1,2,0,0,1,-147,12800000
4,3,1,0,1,1,2,-2,0,0,1,-147,25600000
4,3,1,0,1,1,2,0,0,0,1,147,12800000
4,3,1,0,1,1,2,2,0,0,1,-147,25600000
4,3,2,0,0,0,-2,-2,0,0,1,-147,12800000
4,3,2,0,0,0,-2,0,0,0,1,147,6400000
4,3,2,0,0,0,-2,2,0,0,1,-147,12800000
4,3,2,0,0,0,2,-2,0,0,1,147,12800000
4,3,2,0,0,0,2,0,0,0,1,-147,6400000
4,3,2,0,0,0,2,2,0,0,1,147,12800000
4,3,3,0,0,0,-2,-2,0,0,1,-147,12800000
4,3,3,0,0,0,-2,0,0,0,1,147,6400000
4,3,3,0,0,0,-2,2,0,0,1,-147,12800000
4,3,3,0,0,0,2,-2,0,0,1,147,12800000
4,3,3,0,0,0,2,0,0,0,1,-147,6400000
4,3,3,0,0,0,2,2,0,0,1,147,12800000
4,3,5,0,0,0,-1,-2,0,0,1,-147,6400000
4,3,5,0,0,0,-1,0,0,0,1,40147,3200000
4,3,5,0,0,0,-1,2,0,0,1,-147,6400000
4,3,5,0,0,0,1,-2,0,0,1,147,6400000
4,3,5,0,0,0,1,0,0,0,1,-40147,3200000
4,3,5,0,0,0,1,2,0,0,1,147,6400000
4,3,6,0,0,0,-1,-1,0,0,1,-1,480
4,3,6,0,0,0,-1,1,0,0,1,1,480
4,3,6,0,0,0,1,-1,0,0,1,-1,480
4,3,6,0,0,0,1,1,0,0,1,1,480
4,4,5,0,0,0,0,-2,0,0,1,147,3200000
4,4,5,0,0,0,0,2,0,0,1,-147,3200000
4,5,1,0,-1,-1,-1,-2,0,0,1,147,12800000
4,5,1,0,-1,-1,-1,0,0,0,1,-40147,6400000
4,5,1,0,-1,-1,-1,2,0,0,1,147,12800000
4,5,1,0,-1,-1,0,-2,0,0,1,147,6400000
4,5,1,0,-1,-1,0,2,0,0,1,-147,6400000
4,5,1,0,-1,-1,1,-2,0,0,1,147,12800000
4,5,1,0,-1,-1,1,0,0,0,1,-40147,6400000
4,5,1,0,-1,-1,1,2,0,0,1,147,12800000
4,5,1,0,1,1,-1,-2,0,0,1,-147,12800000
4,5,1,0,1,1,-1,0,0,0,1,40147,6400000
4,5,1,0,1,1,-1,2,0,0,1,-147,12800000
4,5,1,0,1,1,0,-2,0,0,1,147,6400000
4,5,1,0,1,1,0,2,0,0,1,-147,6400000
4,5,1,0,1,1,1,-2,0,0,1,-147,12800000
4,5,1,0,1,1,1,0,0,0,1,40147,6400000
4,5,1,0,1,1,1,2,0,0,1,-147,12800000
4,5,2,0,0,0,-1,-2,0,0,1,-147,6400000
4,5,2,0,0,0,-1,0,0,0,1,40147,3200000
4,5,2,0,0,0,-1,2,0,0,1,-147,6400000
4,5,2,0,0,0,1,-2,0,0,1,147,6400000
4,5,2,0,0,0,1,0,0,0,1,-40147,3200000
4,5,2,0,0,0,1,2,0,0,1,147,6400000
4,5,3,0,0,0,-1,-2,0,0,1,-147,6400000
4,5,3,0,0,0,-1,0,0,0,1,40147,3200000
4,5,3,0,0,0,-1,2,0,0,1,-147,6400000
4,5,3,0,0,0,1,-2,0,0,1,147,6400000
4,5,3,0,0,0,1,0,0,0,1,-40147,3200000
4,5,3,0,0,0,1,2,0,0,1,147,6400000
4,5,4,0,0,0,0,-2,0,0,1,147,3200000
4,5,4,0,0,0,0,2,0,0,1,-147,3200000
4,5,6,0,0,0,0,-1,0,0,1,-1,240
4,5,6,0,0,0,0,1,0,0,1,1,240
4,6,1,0,-1,-1,-1,-1,0,0,1,1,960
4,6,1,0,-1,-1,-1,1,0,0,1,-1,960
4,6,1,0,-1,-1,1,-1,0,0,1,-1,960
4,6,1,0,-1,-1,1,1,0,0,1,1,960
4,6,1,0,1,1,-1,-1,0,0,1,-1,960
4,6,1,0,1,1,-1,1,0,0,1,1,960
4,6,1,0,1,1,1,-1,0,0,1,1,960
4,6,1,0,1,1,1,1,0,0,1,-1,960
4,6,2,0,0,0,-1,-1,0,0,1,-1,480
4,6,2,0,0,0,-1,1,0,0,1,1,480
4,6,2,0,0,0,1,-1,0,0,1,-1,480
4,6,2,0,0,0,1,1,0,0,1,1,480
4,6,3,0,0,0,-1,-1,0,0,1,-1,480
4,6,3,0,0,0,-1,1,0,0,1,1,480
4,6,3,0,0,0,1,-1,0,0,1,-1,480
4,6,3,0,0,0,1,1,0,0,1,1,480
4,6,5,0,0,0,0,-1,0,0,1,-1,240
4,6,5,0,0,0,0,1,0,0,1,1,240
5,1,1,0,-2,-2,-2,-2,0,0,1,-147,51200000
5,1,1,0,-2,-2,-2,2,0,0,1,147,51200000
5,1,1,0,-2,-2,-1,-2,0,0,1,-147,12800000
5,1,1,0,-2,-2,-1,-1,0,0,1,-399,6400000
5,1,1,0,-2,-2,-1,1,0,0,1,-399,6400000
5,1,1,0,-2,-2,-1,2,0,0,1,-147,12800000
5,1,1,0,-2,-2,0,-2,0,0,1,-441,25600000
5,1,1,0,-2,-2,0,-1,0,0,1,-399,3200000
5,1,1,0,-2,-2,0,1,0,0,1,399,3200000
5,1,1,0,-2,-2,0,2,0,0,1,441,25600000
5,1,1,0,-2,-2,1,-2,0,0,1,-147,12800000
5,1,1,0,-2,-2,1,-1,0,0,1,-399,6400000
