body,row,col,nu1,nu2,nu3,nu4,nu5,nu6,real_num,real_den,imag_num,imag_den
6,3,2,0,0,1,-1,-1,0,-441,3200000,0,1
6,3,2,0,0,1,-1,1,0,441,3200000,0,1
6,3,2,0,0,1,0,-1,0,441,1600000,0,1
6,3,2,0,0,1,0,0,0,1197,400000,0,1
6,3,2,0,0,1,0,1,0,441,1600000,0,1
6,3,2,0,0,1,1,-1,0,-441,3200000,0,1
6,3,2,0,0,1,1,1,0,441,3200000,0,1
6,3,3,0,0,0,-2,-2,0,-147,12800000,0,1
6,3,3,0,0,0,-2,0,0,147,6400000,0,1
6,3,3,0,0,0,-2,2,0,-147,12800000,0,1
6,3,3,0,0,0,0,-2,0,147,6400000,0,1
6,3,3,0,0,0,0,-1,0,399,400000,0,1
6,3,3,0,0,0,0,0,0,213307,9600000,0,1
6,3,3,0,0,0,0,1,0,399,400000,0,1
6,3,3,0,0,0,0,2,0,147,6400000,0,1
6,3,3,0,0,0,2,-2,0,-147,12800000,0,1
6,3,3,0,0,0,2,0,0,147,6400000,0,1
6,3,3,0,0,0,2,2,0,-147,12800000,0,1
6,3,4,0,0,0,-1,-2,0,147,6400000,0,1
6,3,4,0,0,0,-1,-1,0,399,1600000,0,1
6,3,4,0,0,0,-1,1,0,-399,1600000,0,1
6,3,4,0,0,0,-1,2,0,-147,6400000,0,1
6,3,4,0,0,0,1,-2,0,-147,6400000,0,1
6,3,4,0,0,0,1,-1,0,-399,1600000,0,1
6,3,4,0,0,0,1,1,0,399,1600000,0,1
6,3,4,0,0,0,1,2,0,147,6400000,0,1
6,3,5,0,0,0,-1,-1,0,399,1600000,0,1
6,3,5,0,0,0,-1,0,0,40441,4800000,0,1
6,3,5,0,0,0,-1,1,0,399,1600000,0,1
